LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
"1870203300","1870074900","1870078100","0",3.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","187","000","1",LTEMP20141210022253000265,chokimcho20150216164146,QTEMP20141209013907000133,QTEMP20141209013907000010,4688.93844530000
"1870203400","1870078100","1870074900","0",3.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","187","000","1",LTEMP20141210022253000388,chokimcho20150216164146,QTEMP20141209013907000010,QTEMP20141209013907000133,4680.76710270000
"1830178400","1830067600","1830067500","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","300",LTEMP20141210022253000446,chokimcho20150216164146,QTEMP20141209013907000208,QTEMP20141209013907000093,494.97001705600
"1830178500","1830067500","1830067600","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","300",LTEMP20141210022253000323,chokimcho20150216164146,QTEMP20141209013907000093,QTEMP20141209013907000208,494.88490896000
"1830178600","1830067700","1830067600","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","300",LTEMP20141210022253000496,chokimcho20150216164146,QTEMP20141209013907000094,QTEMP20141209013907000208,124.32472400500
"1830178700","1830067600","1830067700","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","300",LTEMP20141210022253000373,chokimcho20150216164146,QTEMP20141209013907000208,QTEMP20141209013907000094,125.56706157000
"1830178800","1830067800","1830067700","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","183","003","300",LTEMP20141210022253000447,chokimcho20150216164146,QTEMP20141209013907000095,QTEMP20141209013907000094,133.70546209400
"1830178900","1830067700","1830067800","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","183","003","300",LTEMP20141210022253000324,chokimcho20150216164146,QTEMP20141209013907000094,QTEMP20141209013907000095,135.42581063900
"1830179000","1830067900","1830067800","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","300",LTEMP20141210022253000448,chokimcho20150216164146,QTEMP20141209013907000096,QTEMP20141209013907000095,106.45507112800
"1830179100","1830067800","1830067900","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","300",LTEMP20141210022253000325,chokimcho20150216164146,QTEMP20141209013907000095,QTEMP20141209013907000096,106.45516089500
"1830179200","1830068000","1830067900","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","183","003","300",LTEMP20141210022253000449,chokimcho20150216164146,QTEMP20141209013907000097,QTEMP20141209013907000096,93.06546620800
"1830179300","1830067900","1830068000","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","183","003","300",LTEMP20141210022253000326,chokimcho20150216164146,QTEMP20141209013907000096,QTEMP20141209013907000097,93.06552785410
"1830179400","1830067600","1830068800","0",1.00000000,"101",중부고속도로,"0","101",50.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","35",LTEMP20141210022253000041,chokimcho20150216164146,QTEMP20141209013907000208,QTEMP20141209013907000036,1361.65021450000
"1830179500","1830068300","1830068000","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","300",LTEMP20141210022253000375,chokimcho20150216164146,QTEMP20141209013907000098,QTEMP20141209013907000097,658.88956645000
"1830179600","1830068000","1830068300","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","000","300",LTEMP20141210022253000252,chokimcho20150216164146,QTEMP20141209013907000097,QTEMP20141209013907000098,659.09366443600
"1870204800","1870078100","1870000600","0",2.00000000,"101",경부고속도로,"0","101",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","187","000","1",LTEMP20141210022253000101,chokimcho20150216164146,QTEMP20141209013907000010,,578.59432220100
